Row Labels,Total
E01006213,26
E01006214,21
E01006215,12
E01006216,14
E01006217,17
E01006218,11
E01006219,9
E01006220,5
E01006221,10
E01006222,8
E01006223,15
E01006224,1
E01006225,10
E01006226,2
E01006227,10
E01006228,10
E01006229,4
E01006230,5
E01006231,7
E01006232,10
E01006233,6
E01006234,9
E01006235,5
E01006236,11
E01006237,4
E01006238,5
E01006239,16
E01006240,12
E01006241,32
E01006242,15
E01006243,21
E01006244,33
E01006245,29
E01006246,8
E01006247,7
E01006248,36
E01006249,15
E01006250,11
E01006251,14
E01006252,14
E01006253,5
E01006254,19
E01006255,11
E01006256,21
E01006257,1
E01006258,10
E01006259,1
E01006260,7
E01006261,14
E01006262,18
E01006263,3
E01006264,4
E01006265,7
E01006266,5
E01006267,28
E01006268,12
E01006269,21
E01006270,23
E01006271,7
E01006272,22
E01006273,9
E01006274,22
E01006275,11
E01006276,21
E01006277,3
E01006278,10
E01006279,1
E01006280,8
E01006281,10
E01006282,20
E01006283,38
E01006284,17
E01006285,10
E01006286,6
E01006287,9
E01006288,23
E01006289,22
E01006290,6
E01006291,10
E01006292,14
E01006293,25
E01006294,14
E01006295,24
E01006296,11
E01006297,15
E01006298,14
E01006299,12
E01006300,2
E01006301,4
E01006302,13
E01006303,5
E01006304,13
E01006305,18
E01006306,23
E01006307,26
E01006308,24
E01006309,19
E01006310,25
E01006311,14
E01006312,5
E01006313,4
E01006314,9
E01006315,2
E01006316,5
E01006317,9
E01006319,5
E01006320,1
E01006321,4
E01006322,12
E01006323,14
E01006324,22
E01006325,23
E01006326,9
E01006327,14
E01006328,56
E01006329,13
E01006330,11
E01006331,11
E01006332,18
E01006333,114
E01006334,29
E01006335,19
E01006336,19
E01006337,19
E01006338,18
E01006339,4
E01006340,16
E01006341,8
E01006342,10
E01006343,3
E01006344,5
E01006345,5
E01006346,21
E01006347,4
E01006348,24
E01006349,57
E01006350,24
E01006351,24
E01006352,32
E01006353,16
E01006354,30
E01006355,10
E01006356,11
E01006357,28
E01006358,43
E01006359,16
E01006360,26
E01006361,10
E01006362,13
E01006363,5
E01006364,25
E01006365,10
E01006366,3
E01006367,4
E01006368,6
E01006369,128
E01006370,47
E01006371,7
E01006372,4
E01006373,3
E01006374,8
E01006375,21
E01006376,15
E01006377,2
E01006378,10
E01006379,15
E01006380,15
E01006381,8
E01006382,2
E01006383,7
E01006384,2
E01006385,6
E01006386,44
E01006387,10
E01006388,18
E01006389,9
E01006390,6
E01006391,4
E01006392,16
E01006393,12
E01006394,4
E01006395,6
E01006396,6
E01006397,11
E01006398,9
E01006399,16
E01006400,7
E01006401,8
E01006402,4
E01006403,12
E01006404,13
E01006405,7
E01006406,13
E01006407,9
E01006408,6
E01006409,3
E01006410,7
E01006411,26
